BAC_PAC	Type
CTB-62I11	Sebat
CTD-2340F8	Sebat
G248P800243B4	Sebat
G248P80131B10	Sebat
G248P8014G10	Sebat
G248P8022C8	Sebat
RP11-100J16	Sebat
RP11-101E5	Sebat
RP5-888M10	Sebat
RP11-547D24	Tumor_suppressors_and_Onco
RP3-484O5	Tumor_suppressors_and_Onco
RP5-892K4	Tumor_suppressors_and_Onco
RP11-181G12	Tumor_suppressors_and_Onco
RP11-181G12	Tumor_suppressors_and_Onco
RP5-1092A11	Tumor_suppressors_and_Onco
RP11-58A11	Tumor_suppressors_and_Onco
RP1-126A5	Tumor_suppressors_and_Onco
RP11-420G9	Tumor_suppressors_and_Onco
RP4-736L20	Tumor_suppressors_and_Onco
RP11-131O15	Lafarte
RP11-219C24	Lafarte
RP11-259N12	Lafarte
RP11-266I14	Lafarte
RP11-415M14	Lafarte
